name,constituency,so_do_wo,age,party,assets,liabilities
JAYANTH PRASAD NAIDU THUPAKULA,IBRAHIMPATNAM  (RANGAREDDY),Sh. Kankeswara Rao,36,Navarang Congress Party,"Rs 64,40,000","Rs 40,00,000"
JELLA NAGARJUNA,LAL BAHADUR NAGAR  (RANGAREDDY),Jella Nageshwar Rao,31,IND,"Rs 11,000","Rs 16,00,000"
JUVVA PHANI KUMAR,SERILINGAMPALLY  (RANGAREDDY),J. Varaprasad Rao,43,IND,Telangana 2018,"Rs30,41,000"
K LAXMA REDDY (K.L.R),MAHESWARAM  (RANGAREDDY),Kicchannagari Konda Reddy,67,INC,Telangana 2018,"Rs44,45,58,279"
K NAGADEVA,LAL BAHADUR NAGAR  (RANGAREDDY),Late K. Subba Rao,52,IND,Telangana 2018,"Rs13,65,000"
K RAGHAVENDAR,SHADNAGAR  (RANGAREDDY),Venkataiah,34,IND,Nil,Nil
K S RATNAM,CHEVELLA (SC)  (RANGAREDDY),Late Korani Sayanna,68,BJP,Telangana 2018,"Rs4,09,41,252"
K SHANKARAIAH(Winner),SHADNAGAR  (RANGAREDDY),Ramaiah,54,INC,Telangana 2018,"Rs2,48,13,237"
K. KISHAN REDDY,IBRAHIMPATNAM  (RANGAREDDY),Sh. Kandala Ranga Reddy,42,Alliance of Democratic Reforms Party,"Rs 4,54,24,819","Rs 43,70,816"
K. RAVINDER REDDY,IBRAHIMPATNAM  (RANGAREDDY),Late Sh. Janga Reddy,57,IND,Telangana 2018,"Rs1,09,15,000"
KALE YADAIAH(Winner),CHEVELLA (SC)  (RANGAREDDY),Mallaiah,61,BRS,Telangana 2018,"Rs37,54,200"
KALLEM LAXMA REDDY (K.L.R),MAHESWARAM  (RANGAREDDY),Kallem Narahari Reddy,34,Jana Shankhaaraavam Party,"Rs 2,34,083",Nil
KANDALA PARDHA SARADHI,LAL BAHADUR NAGAR  (RANGAREDDY),B S Sharam Kandala,61,Jana Rajyam Party,"Rs 1,65,54,000","Rs 25,90,000"
KANDIVANAM RAJU MALLESH GOUD,RAJENDRANAGAR  (RANGAREDDY),K. SUDARSHAN GOUD,40,IND,"Rs 26,20,000",Nil
KANKANALA SRIKANTH,MAHESWARAM  (RANGAREDDY),Sh. K Krishnama Chary,52,IND,"Rs 8,50,000",Nil
KARRE SRINIVAS,RAJENDRANAGAR  (RANGAREDDY),Late Balakistaiah,46,IND,"Rs 84,02,000",Nil
KARTHIEEK GUNDLA,SERILINGAMPALLY  (RANGAREDDY),G. Mallaiah,28,IND,"Rs 1,28,09,475","Rs 69,53,932"
KASIREDDY PHANINDER,LAL BAHADUR NAGAR  (RANGAREDDY),Kasireddy Ram Reddy,34,IND,"Rs 80,23,000","Rs 33,50,000"
KASTURI NARENDER,RAJENDRANAGAR  (RANGAREDDY),Late Kasturi Sathaiah,54,INC,"Rs 44,55,73,169","Rs 1,05,00,000"
KATHULA YADAIAH,MAHESWARAM  (RANGAREDDY),Kathula Sailu,46,IND,Nil,Nil
KODURU RAVI,LAL BAHADUR NAGAR  (RANGAREDDY),Koduru Narsaiah,45,Blue India Party,"Rs 9,78,000","Rs 80,000"
KOKKONDA PRUDHVI PATHI RAO,SERILINGAMPALLY  (RANGAREDDY),Late. K. Rathna Sena Rao,51,IND,"Rs 79,11,500","Rs 21,70,000"
KOLUKURI SRINIVAS REDDY,RAJENDRANAGAR  (RANGAREDDY),Sh. Kolukuri Padma,32,IND,"Rs 1,57,80,000",Nil
KOMATI REDDY VENKAT RAMANA REDDY,LAL BAHADUR NAGAR  (RANGAREDDY),Komati Reddy Nagi Reddy,33,IND,"Rs 45,66,000","Rs 6,00,000"
KOMMA SRINIVASULU,KALWAKURTHY  (RANGAREDDY),Komma Chandraiah,37,BSP,"Rs 80,82,000","Rs 9,29,000"
KONDAPALLY RAMULU,SERILINGAMPALLY  (RANGAREDDY),Late Kondapally Ramakrisna,44,Bahujan Mukti Party,Telangana 2023,"Rs63,87,000"
KOTHA MANOHAR REDDY,MAHESWARAM  (RANGAREDDY),Kotha Malla Reddy,48,BSP,Telangana 2014,"Rs5,52,65,606"
KOTHA SHANKAR REDDY,IBRAHIMPATNAM  (RANGAREDDY),Sh. Mallareddy Kotha,60,IND,"Rs 14,00,000","Rs 18,40,000"
KOTHAGUNDLA NAGAMANI,LAL BAHADUR NAGAR  (RANGAREDDY),K.Pedda Babu,54,Bharatha Chaitanya Yuvajana Party,"Rs 47,500",Nil
KUMBHAM SHURESH,MAHESWARAM  (RANGAREDDY),Mallesh,35,Bharatha Chaitanya Yuvajana Party,"Rs 3,34,63,000",Nil
LAXMANACHARI POKURI,MAHESWARAM  (RANGAREDDY),P Subbaiah Chari,42,Jana Rajyam Party,"Rs 64,40,000",Rs 0
M.RAVI KUMAR YADAV,SERILINGAMPALLY  (RANGAREDDY),M. Bhikashapathi,42,BJP,"Rs 1,71,88,55,525","Rs 49,60,925"
MADDELA CHANDRAMOULI,SHADNAGAR  (RANGAREDDY),Late Vittalaiah,51,IND,"Rs 1,10,60,000","Rs 33,50,000"
MADDELA SATHYANARAYANA,CHEVELLA (SC)  (RANGAREDDY),M. Papaiah,33,IND,"Rs 1,00,000",Nil
MADHU YASKHI GOUD,LAL BAHADUR NAGAR  (RANGAREDDY),Kishtaiah Yashki,65,INC,,
MAHESH V,RAJENDRANAGAR  (RANGAREDDY),V.Appaiah,40,Pyramid Party of India,Telangana 2018,"Rs11,70,000"
MALLESH PIPPALA KURUMA,MAHESWARAM  (RANGAREDDY),Krishnaiah Pippala,31,Vidhyarthula Rajakiya Party,"Rs 47,954","Rs 47,954"
MALOTHU SHIVA,IBRAHIMPATNAM  (RANGAREDDY),Sh. Purani,36,IND,"Rs 20,000",Nil
MALREDDY RANGA REDDY(Winner),IBRAHIMPATNAM  (RANGAREDDY),Late M. Bal Reddy,67,INC,Telangana 2018,"Rs42,95,82,296"
MAMILLAPALLY PADMA,KALWAKURTHY  (RANGAREDDY),Mamillapally Jaipal,33,Jai Maha Bharath Party,"Rs 6,000",Nil
MANCHALA BIKSHAPATHI,SHADNAGAR  (RANGAREDDY),Venkataiah,48,Dharma Samaj Party,"Rs 17,74,000","Rs 7,99,000"
MANCHALA SRIKANTH,LAL BAHADUR NAGAR  (RANGAREDDY),Late Manchala Raju,37,IND,"Rs 7,10,000","Rs 2,50,000"
MANCHIREDDY KISHAN REDDY,IBRAHIMPATNAM  (RANGAREDDY),Late Bhoopal Reddy,70,BRS,Telangana 2014,"Rs7,99,15,000"
MANDAGIRI SWAMY YADAV,RAJENDRANAGAR  (RANGAREDDY),M.Mashanna,44,All India Majlis-E-Ittehadul Muslimeen,"Rs 1,25,38,079","Rs 20,00,000"
MANGALAPALLY HANMADAS,KALWAKURTHY  (RANGAREDDY),Mangalapally Peddaiah,33,IND,"Rs 3,21,000","Rs 10,124"
MANKU MURALI,IBRAHIMPATNAM  (RANGAREDDY),Manku Galaiah,50,IND,"Rs 13,27,000",Nil
MARAMULLA GNANA RAJU,SERILINGAMPALLY  (RANGAREDDY),M. Seshaiah,48,IND,Telangana 2018,"Rs13,70,000"
MD RAHAMADDIN,SHADNAGAR  (RANGAREDDY),Late Shamshuddin MD,38,All India Samata Party,"Rs 26,79,914","Rs 9,70,000"
MEKALA JAIPAL REDDY,LAL BAHADUR NAGAR  (RANGAREDDY),M Yadagiri Reddy,43,Alliance of Democratic Reforms Party,"Rs 1,56,10,000","Rs 24,80,000"
MEKALA SRINIVAS,CHEVELLA (SC)  (RANGAREDDY),Kistaiah,37,India Praja Bandhu Party,"Rs 6,000",Nil
MEKALA VENKATA SUBBAMMA,SERILINGAMPALLY  (RANGAREDDY),Kakamanu Babu,51,IND,"Rs 15,60,000","Rs 71,000"
MIRJAPUR RAVI,IBRAHIMPATNAM  (RANGAREDDY),M. Bhemappa Mirjapur,26,IND,"Rs 21,500",Nil
MOHAMMAD PASHA,SERILINGAMPALLY  (RANGAREDDY),Mohammad Chote Miya,44,IND,"Rs 63,60,941",Nil
MOHAMMED ABDUL AZEEM,RAJENDRANAGAR  (RANGAREDDY),Late Abdul Wahed,52,IND,Telangana 2023,"Rs2,10,000"
MOHAMMED IQBAL,RAJENDRANAGAR  (RANGAREDDY),Shaik Murtuza,47,IND,"Rs 30,00,000",Nil
MOHAMMED KHAJA MUFEEZUDDIN,SHADNAGAR  (RANGAREDDY),Mohammed Khaja Moinuddin,53,Jai Swaraj Party,"Rs 17,75,000",Nil
MOHAMMED NAWAZ,RAJENDRANAGAR  (RANGAREDDY),Mohammed Ismail,37,Desh Janhit Party,Lok Sabha 2019,"Rs4,53,267"
MOHAMMED TAJ,MAHESWARAM  (RANGAREDDY),Mohammed Sabeer,35,Desh Janhit Party,"Rs 8,75,000",Nil
MOHD ABDUL AZIZ,RAJENDRANAGAR  (RANGAREDDY),Mohd Abdul Quadeer,43,Navarang Congress Party,"Rs 1,11,000",Nil
MOHD AMER,RAJENDRANAGAR  (RANGAREDDY),Mohd Mujeeb,31,Rashtriya Janmorcha,"Rs 3,25,900",Nil
MOHD MUBASHIR,LAL BAHADUR NAGAR  (RANGAREDDY),Late Md. Muzaffer,34,Prabuddha Republican Party,"Rs 3,21,90,415","Rs 1,65,000"
MOKUROJU PARIPURNA CHARY,LAL BAHADUR NAGAR  (RANGAREDDY),krishna Chary M,43,IND,"Rs 6,52,000",Nil
MUDAVATH RAVI,KALWAKURTHY  (RANGAREDDY),Laskari,37,IND,"Rs 13,24,667","Rs 4,18,478"
MUDDAGOWNI RAJYALAXMI,IBRAHIMPATNAM  (RANGAREDDY),Krishna,39,IND,"Rs 80,000",Nil
N. THIRUPATHAMMA,KALWAKURTHY  (RANGAREDDY),N Satyam,44,Bahujana Left Party,"Rs 11,61,500",Nil
NAKKA PRABHAKAR,SERILINGAMPALLY  (RANGAREDDY),N. Kistaiah,31,Praja Velugu Party,"Rs 1,00,000",Nil
NALLAGOPPULA HARISH GOUD,RAJENDRANAGAR  (RANGAREDDY),Yakaiah,30,Marxist Communist Party of India (United),"Rs 97,42,930","Rs 92,15,125"
NARASIMHA REDDY DYAPA,MAHESWARAM  (RANGAREDDY),Venkat Reddy Dyapa,58,Telangana Republican Party,"Rs 6,96,50,000",Nil
NARAYAN REDDY KASIREDDY(Winner),KALWAKURTHY  (RANGAREDDY),Late Durga Reddy,59,INC,Telangana Legislative Council (Updated),"Rs50,58,91,355"
NARESH MIDDELA,LAL BAHADUR NAGAR  (RANGAREDDY),Ashok Goud Middela,31,Praja Ektha Party,"Rs 6,78,500","Rs 7,00,000"
NARSIIMMHHA,SHADNAGAR  (RANGAREDDY),Pentaiah Rustham,41,IND,"Rs 40,000",Nil
NEMMADI SRAVAN KUMAR,SERILINGAMPALLY  (RANGAREDDY),Nemmadi Malsoor,27,Dharma Samaj Party,"Rs 1,38,012","Rs 15,000"
NOMULA DAYANAND,IBRAHIMPATNAM  (RANGAREDDY),Nomula Anthaiah,59,BJP,"Rs 3,62,76,906","Rs 1,42,22,308"
NOVKAT BALA KIRTHI RANI,LAL BAHADUR NAGAR  (RANGAREDDY),Bala Krishna,47,Jai Maha Bharath Party,"Rs 5,67,000",Nil
O.SRINIVAS YADAV,SERILINGAMPALLY  (RANGAREDDY),O. Gandaiah,56,BSP,"Rs 4,31,32,407","Rs 11,22,941"
P BRAHMAIAH,LAL BAHADUR NAGAR  (RANGAREDDY),P.Parvathalu,44,IND,"Rs 4,16,200",Nil
PAGADALA YADAIAH,IBRAHIMPATNAM  (RANGAREDDY),Late P. Ramulu,55,CPI(M),Telangana 2018,"Rs65,34,748"
PAGILLA NARASIMHA REDDY,MAHESWARAM  (RANGAREDDY),Sh. Chandra Reddy Pagilla,50,IND,"Rs 3,62,69,084",Nil
PALADI KIRAN KUMAR,KALWAKURTHY  (RANGAREDDY),Paladi Eshwaraiah,29,Socialist Unity Centre Of India (COMMUNIST),"Rs 4,03,000","Rs 18,59,110"
PALAMAKULA MADHU,RAJENDRANAGAR  (RANGAREDDY),Palamakula Shivaiah,42,India Praja Bandhu Party,Telangana 2023,"Rs2,29,549"
PALAMUR VISHNUVARDHAN REDDY,SHADNAGAR  (RANGAREDDY),P. Narayana Reddy,49,All India Forward Bloc,"Rs 15,08,66,183","Rs 20,85,000"
PANDU RANGAM RAYABANDI,LAL BAHADUR NAGAR  (RANGAREDDY),Late Bhikshapathi,50,Bahujana Left Party,"Rs 1,63,79,500",Nil
PANDURANGAIAH M,KALWAKURTHY  (RANGAREDDY),M Laxmaiah,36,Bahujan Republican Socialist Party,"Rs 7,61,000",Nil
PAREEKSHITH REDDY,IBRAHIMPATNAM  (RANGAREDDY),P. Madhusudhan Reddy,38,IND,Nil,Nil
PARNANDI RAMULU,SERILINGAMPALLY  (RANGAREDDY),Late Parnandi Saiulu,52,IND,"Rs 95,64,000","Rs 30,00,000"
PASUPULA PRASANT KUMAR,SHADNAGAR  (RANGAREDDY),P. Mallaiah,25,BSP,"Rs 20,84,221","Rs 12,29,502"
PATIBALLA ANJALI,LAL BAHADUR NAGAR  (RANGAREDDY),P.Sudarshan,51,IND,"Rs 1,80,000",Nil
PATLOLLA SABITHA INDRA REDDY(Winner),MAHESWARAM  (RANGAREDDY),Late P. Indra Reddy,60,BRS,Telangana 2018,"Rs5,39,69,034"
PONUGOTI BHAVANI,RAJENDRANAGAR  (RANGAREDDY),Sh. Ponugoti Arjun,44,Jai Maha Bharath Party,"Rs 41,05,000",Nil
PRASAD V,SERILINGAMPALLY  (RANGAREDDY),Subba Rao,40,Pyramid Party of India,"Rs 41,39,000","Rs 10,00,000"
PRATHAP SIMHA RAIDU. J (CHINNA RAIDU),IBRAHIMPATNAM  (RANGAREDDY),G. Jayaraj,28,Telangana Jaghir Party,Telangana 2018,Nil
R. RAGHURAM NAIK,MAHESWARAM  (RANGAREDDY),Dev Singh Naik,37,IND,"Rs 3,58,27,500",Nil
RACHAMALLA JAISIMHA,RAJENDRANAGAR  (RANGAREDDY),Ramulu Rachamalla,43,BSP,"Rs 71,62,830","Rs 35,85,900"
RAJA MAHENDRA KATARI,SERILINGAMPALLY  (RANGAREDDY),Raghu Katari,36,IND,"Rs 86,75,000","Rs 18,86,000"
RAJA MAHENDRA VARMA,CHEVELLA (SC)  (RANGAREDDY),Venkatiah,41,BSP,"Rs 9,02,500","Rs 6,91,000"
RAMCHANDER,KALWAKURTHY  (RANGAREDDY),Late J. Pandya,39,Telangana Communist Party of India,"Rs 88,71,500","Rs 46,26,316"
RAMESH VANKESHWARAM,KALWAKURTHY  (RANGAREDDY),Narsimha Vankeshwaram,34,Dharma Samaj Party,"Rs 19,03,517","Rs 1,30,000"
RAVINDER UPPULA,SERILINGAMPALLY  (RANGAREDDY),Linga Reddy Uppula,51,IND,Telangana 2018,"Rs2,87,92,000"
RAVITEJA SRIRUMULA,SERILINGAMPALLY  (RANGAREDDY),Sriramula Lakshmi Narayana,26,IND,"Rs 41,000","Rs 2,60,000"
RAVULA SAIKIRAN,IBRAHIMPATNAM  (RANGAREDDY),Pavula Srisailam,26,IND,"Rs 7,00,000","Rs 10,40,551"
RUPANI LINGASVAMI,LAL BAHADUR NAGAR  (RANGAREDDY),Rupani Mallaiah,67,Telangana Rajya Samithi,Telangana 2018,"Rs2,30,000"
SABAVATH SAVINDAR,MAHESWARAM  (RANGAREDDY),S. Chandya,30,IND,"Rs 10,12,000",Nil
SABITHA MADDI,MAHESWARAM  (RANGAREDDY),Sh. Maddi Rajashekar Reddy,40,IND,"Rs 10,49,60,000","Rs 1,20,00,000"
SAIKUMAR NARRA,SERILINGAMPALLY  (RANGAREDDY),Narra Hanumantha Rao,26,Yuga Thulasi Party,"Rs 25,500","Rs 98,000"
SAMA RANGA REDDY,LAL BAHADUR NAGAR  (RANGAREDDY),S Sri Shailam Reddy,55,BJP,Telangana 2018,"Rs27,66,38,801"
SAMBA SIVA PRASAD M,SERILINGAMPALLY  (RANGAREDDY),M Nageshwara Rao,53,IND,Telangana 2018,"Rs18,000"
SAPAVAT DEVARAM,IBRAHIMPATNAM  (RANGAREDDY),Sh. Sapavat Jawaharlal,33,IND,Lok Sabha 2019,"Rs64,986"
SAPAVAT SUMAN,LAL BAHADUR NAGAR  (RANGAREDDY),Ramulu,36,IND,"Rs 20,000",Nil
SHAIK FARUQ,SERILINGAMPALLY  (RANGAREDDY),Late Shaik Mohammed,28,IND,"Rs 30,391",Nil
SHANMUKHA CHARY RANGU,LAL BAHADUR NAGAR  (RANGAREDDY),Brahmaiah Rangu,50,IND,"Rs 37,22,255",Nil
SHEKHAR POTHARAPALLY,KALWAKURTHY  (RANGAREDDY),Pedda Jangaiah Potharapally,33,Aazad Samaj Party (Kanshi Ram),"Rs 4,30,044",Nil
SOLIPURAM VENKAT RAM REDDY,IBRAHIMPATNAM  (RANGAREDDY),Sh. Solipuram Malla Reddy,48,IND,"Rs 16,74,62,624","Rs 30,50,000"
SRINIVAS JENNUMAHANTHI,RAJENDRANAGAR  (RANGAREDDY),Sh. Hara Gopala Rao,47,Revolutionary Communist Party of India (Rasik Bhatt),"Rs 1,00,000",Nil
SRINIVAS RAO HAZARI,LAL BAHADUR NAGAR  (RANGAREDDY),Appaiah Hazari,55,IND,"Rs 2,17,00,000",Nil
STALIN RAVINDRA MAHARAJ,CHEVELLA (SC)  (RANGAREDDY),Muppidi Chandraiah,35,Dharma Samaj Party,"Rs 1,77,000","Rs 1,25,000"
SUBRAMANYA RAHUL GUNTURU,MAHESWARAM  (RANGAREDDY),Siva Kumara Sarma Gunturu,27,IND,"Rs 3,49,000",Nil
SUDHEER REDDY DHEPA,LAL BAHADUR NAGAR  (RANGAREDDY),Lakshmi Dhepa,38,IND,"Rs 65,60,000",Nil
SYED AHMED ALI,KALWAKURTHY  (RANGAREDDY),Late Syed Khurshid Ali,40,Yuga Thulasi Party,"Rs 18,48,554",Nil
SYED AIJAZ HUSSAINI,RAJENDRANAGAR  (RANGAREDDY),Syed Akbar Hussaini,36,Prabuddha Republican Party,"Rs 1,86,000",Nil
SYED AZEEM UDDIN,MAHESWARAM  (RANGAREDDY),Syed Jalal Uddin,31,All India Majlis-E-Inquilab-E-Millat,"Rs 1,98,50,000","Rs 5,95,937"
SYED SABER,SERILINGAMPALLY  (RANGAREDDY),Syed Naseer,39,IND,"Rs 68,90,000",Nil
SYED SIDDIQULLA HUSSENI,IBRAHIMPATNAM  (RANGAREDDY),Syed Rahmulla Husseni,61,India Praja Bandhu Party,"Rs 1,32,001",Nil
T SRIRAMULU YADAV,MAHESWARAM  (RANGAREDDY),T Swamy,40,Bhartiya Krantisangh Party,"Rs 32,41,839",Nil
T. PRAKASH GOUD(Winner),RAJENDRANAGAR  (RANGAREDDY),Tolkanti Gandaiah,64,BRS,Telangana 2018,"Rs8,28,60,000"
T.SUBASH,KALWAKURTHY  (RANGAREDDY),T. Ramulu,34,IND,"Rs 1,52,215",Nil
THALLOJU ACHARI,KALWAKURTHY  (RANGAREDDY),T. Ramulu,57,BJP,Telangana 2018,"Rs1,00,43,500"
THOKALA SRINIVAS REDDY,RAJENDRANAGAR  (RANGAREDDY),Thokala Srisailam Reddy,32,BJP,Telangana 2018,"Rs14,97,452"
THOTLA RAGHAVENDER,RAJENDRANAGAR  (RANGAREDDY),Sh. T Anjaiah,31,Dharma Samaj Party,"Rs 20,72,023",Nil
THUPPUDU NARSAIAH,SHADNAGAR  (RANGAREDDY),Late Venkataiah,48,IND,"Rs 7,60,000","Rs 6,00,000"
TODE BALACHANDER,IBRAHIMPATNAM  (RANGAREDDY),Tode Balachander,65,IND,"Rs 85,17,000","Rs 12,50,000"
TUDUMU PANDU,CHEVELLA (SC)  (RANGAREDDY),Tudumu Yellaiah,40,IND,"Rs 66,06,299",Nil
TULASIGARI RAVINDER,IBRAHIMPATNAM  (RANGAREDDY),Tulasigari Narsimha,35,Dharma Samaj Party,"Rs 7,30,000",Nil
UPPULA MAHENDER,MAHESWARAM  (RANGAREDDY),Krishnaiah,28,IND,"Rs 10,40,996",Nil
V. REKYA,KALWAKURTHY  (RANGAREDDY),Bichya,39,IND,"Rs 11,05,000",Nil
V. SADANANDA REDDY,IBRAHIMPATNAM  (RANGAREDDY),Krishna Reddy Vundyala,58,People Protection Party,Telangana 2023,"Rs1,84,30,000"
VAGGU VINAY,KALWAKURTHY  (RANGAREDDY),V. Shankar,26,Vidhyarthula Rajakiya Party,"Rs 6,000",Nil
VANGETI NARENDAR REDDY,IBRAHIMPATNAM  (RANGAREDDY),Vangeti Srinivas Reddy,39,IND,"Rs 1,89,03,000","Rs 2,07,39,418"
VENKATESH YADAV,LAL BAHADUR NAGAR  (RANGAREDDY),G.Mallaiah,34,IND,"Rs 81,91,500",Nil
VENU NANDIMANDALAM,SERILINGAMPALLY  (RANGAREDDY),N. Subbarayudu,48,IND,"Rs 2,30,79,753","Rs 1,11,00,000"
VINAY KUMAR SARA,SHADNAGAR  (RANGAREDDY),Sara Darshan Goud,31,Vidhyarthula Rajakiya Party,"Rs 9,25,000",Nil
VINOD KUMAR GORKANTI,LAL BAHADUR NAGAR  (RANGAREDDY),Gorkanti Ashok,30,Yuga Thulasi Party,"Rs 1,30,000",Nil
VISANAKARRA AMARNATH,KALWAKURTHY  (RANGAREDDY),V. Paramesh,30,India Praja Bandhu Party,"Rs 18,45,000",Nil
Y JOSHNA RANI,LAL BAHADUR NAGAR  (RANGAREDDY),Y.Sudhir Babu,36,Indian Praja Congress,"Rs 80,000",Nil
Y SHYAM SUNDER REDDY,LAL BAHADUR NAGAR  (RANGAREDDY),Y.Biksham Reddy,47,IND,"Rs 3,92,78,394","Rs 7,55,853"
YAMARTHI RATNA PRASAD,LAL BAHADUR NAGAR  (RANGAREDDY),Y.Yeshaiah,50,Republican Party of India,"Rs 3,79,000",Nil
YAMPALLA SUDHAKAR REDDY,IBRAHIMPATNAM  (RANGAREDDY),Laxma Reddy,45,Yuga Thulasi Party,"Rs 1,85,21,144",Nil
A.CHANDRASEKHAR,ZAHIRABAD (SC)  (SANGAREDDY),AGAMA BALAIAH,63,INC,Lok Sabha 2019,"Rs6,33,20,000"
ABBENDA ANJA GOUD,NARAYANKHED  (SANGAREDDY),Late Rama Goud Abbenda,41,IND,"Rs 20,39,662","Rs 35,000"
ALIGE JEEVAN,NARAYANKHED  (SANGAREDDY),Narasaiah,33,Dharma Samaj Party,"Rs 2,40,920",Nil
ANANGALLA RAMULU,PATANCHERU  (SANGAREDDY),Anangalla Yellaiah,35,Rashtra Samanya Praja Party,"Rs 1,34,443","Rs 1,60,000"
B CHANDRAKANTH,ZAHIRABAD (SC)  (SANGAREDDY),B Mohan,36,Bahujan Mukti Party,"Rs 92,000","Rs 46,996"
B. NAGESHWAR,NARAYANKHED  (SANGAREDDY),Sh. B Narasappa,27,IND,"Rs 10,62,000","Rs 1,15,000"
BABU MOHAN PALLI,ANDOLE (SC)  (SANGAREDDY),Ananda Rao,71,BJP,Telangana 2018,"Rs5,78,27,545"
BANDARU GOVARDHANA SURYANARAYANA,PATANCHERU  (SANGAREDDY),Lt. B. Tatiah,58,Bharatha Chaitanya Yuvajana Party,"Rs 42,88,005",Nil
BANGARU KRISHNA,SANGAREDDY  (SANGAREDDY),B .Shivaiah,37,IND,"Rs 60,000",Nil
BEGARI AMOS,ANDOLE (SC)  (SANGAREDDY),BEGARI YELLAIAH,25,IND,"Rs 6,17,000","Rs 3,74,000"
BEGARI ASHOK,ANDOLE (SC)  (SANGAREDDY),Begari Durgaiah,34,Yuga Thulasi Party,"Rs 86,000",Nil
BHUTIPIL NARSIMLU,NARAYANKHED  (SANGAREDDY),Vithal,47,Bahujan Republican Socialist Party,"Rs 25,77,000",Nil
C. DAMODAR RAJANARSIMHA(Winner),ANDOLE (SC)  (SANGAREDDY),Late C. Rajanarsimha,64,INC,Telangana 2018,"Rs32,14,31,728"
CH. RUBEN,ZAHIRABAD (SC)  (SANGAREDDY),Cheppula Sukkaiah,31,Praja Velugu Party,"Rs 40,000",Nil
CHANDRAMOHAN,SANGAREDDY  (SANGAREDDY),Kammari Veeralah,44,Telangana Communist Party of India,"Rs 98,07,500",Nil
CHANTI KRANTHI KIRAN,ANDOLE (SC)  (SANGAREDDY),Bhoomaiah Chanti,47,BRS,Telangana 2018,"Rs1,85,02,376"
CHINTA PRABHAKAR(Winner),SANGAREDDY  (SANGAREDDY),Late Chinta Nagabhushanam,63,BRS,Telangana 2018,"Rs1,40,12,468"
CHOUHAN ANKOSH,NARAYANKHED  (SANGAREDDY),Ram Singh,31,Jatiya Jana Sena Party,"Rs 3,50,000","Rs 1,20,000"
D. SRINIVAS,SANGAREDDY  (SANGAREDDY),D. Gopal,41,Dharma Samaj Party,"Rs 15,16,000","Rs 50,000"
DEVADAS YERRARAM,ANDOLE (SC)  (SANGAREDDY),YERRARAM BALAIAH,31,Bharatha Chaitanya Yuvajana Party,"Rs 10,90,000","Rs 6,50,000"
DEVAIAH PALADI,PATANCHERU  (SANGAREDDY),Bal lachyya Paladi,52,Socialist Unity Centre Of India (COMMUNIST),"Rs 39,50,000","Rs 12,85,000"
DIGWAL RAMESH,ZAHIRABAD (SC)  (SANGAREDDY),Narsimulu,41,IND,Telangana 2018,"Rs12,02,500"
DODLA VENKAT,SANGAREDDY  (SANGAREDDY),Lingamaih,37,Telangana Praja Shakthi Party,Telangana 2018,"Rs25,267"
G. HARIKANTH REDDY,SANGAREDDY  (SANGAREDDY),G Mallareddy,30,IND,"Rs 3,83,000",Nil
GANAPURAM VENU GOPAL,PATANCHERU  (SANGAREDDY),Ganapuram Ramachandraiah,31,IND,"Rs 1,36,75,000","Rs 28,53,068"
GIRUKHABHAVI SUREKHA,ANDOLE (SC)  (SANGAREDDY),Swamaiah Girukhabhavi,37,IND,"Rs 23,99,000","Rs 2,59,350"
GUDEM MAHIPAL REDDY(Winner),PATANCHERU  (SANGAREDDY),LATE SATHI REDDY,60,BRS,Telangana 2018,"Rs22,05,60,676"
GUMMADI LAXMAN (JOHN),ANDOLE (SC)  (SANGAREDDY),GUMMADI NARSIMULU,28,Bahujan Mukti Party,"Rs 4,14,000","Rs 8,90,000"
HEMANAND TABLA,ZAHIRABAD (SC)  (SANGAREDDY),Narsimulu,32,IND,"Rs 87,000",Nil
JANGAM GOPI,ZAHIRABAD (SC)  (SANGAREDDY),Jangam Poshanna,55,BSP,Telangana 2018,"Rs8,39,83,123"
JENAWADE SANGAPPA,NARAYANKHED  (SANGAREDDY),Jenawade Kanteppa,47,BJP,"Rs 1,06,10,297","Rs 31,07,752"
JONNALAGADDA MALLIKARJUNA RAO,PATANCHERU  (SANGAREDDY),Lt. Satyanarayana,59,CPI(M),"Rs 3,65,62,665","Rs 9,00,000"
K RAMESH NAYAK,NARAYANKHED  (SANGAREDDY),Tukaram,28,Navarang Congress Party,"Rs 5,18,395","Rs 3,50,000"
K. GUNDAMMA,ZAHIRABAD (SC)  (SANGAREDDY),Appa Rao,38,IND,"Rs 2,70,000",Nil
KARRA DANAIAH,PATANCHERU  (SANGAREDDY),K. Pentaiah,54,Marxist Communist Party of India (United),"Rs 14,21,500",Nil
KATA SRINIVAS GOUD,PATANCHERU  (SANGAREDDY),Late Darshan Goud,42,INC,Telangana 2018,"Rs3,12,87,269"
KATHYAYANI KUMBHA,PATANCHERU  (SANGAREDDY),Nageswara Rao Kumbha,28,IND,"Rs 61,30,000","Rs 32,00,000"
KHADER MOHIUDDIN,PATANCHERU  (SANGAREDDY),Zainulabiddin,66,IND,"Rs 19,93,000",Nil
KIRAN RATHOD,SANGAREDDY  (SANGAREDDY),Laxman,30,IND,Telangana 2023,"Rs11,000"
KISHAN,ZAHIRABAD (SC)  (SANGAREDDY),Ramaiah Byagari,44,Bhartiya Swadeshi Congress,"Rs 5,59,840",Nil
