name,constituency,so_do_wo,age,party,assets,liabilities
HASSAN SHAIK,KAMAREDDY  (KAMAREDDY),Saidulu,35,IND,"Rs 40,127",Nil
JAMUNA RATHLA,YELLAREDDY  (KAMAREDDY),Venkatnayak Rathla,47,BSP,Andhra Pradesh 2009,"Rs19,90,000"
JUKANTI ANJAL REDDY,KAMAREDDY  (KAMAREDDY),Juknti Narayana Reddy,45,IND,"Rs 2,36,15,703","Rs 60,91,595"
JUPAKA SHYAMALA,JUKKAL (SC)  (KAMAREDDY),Jupaka Ramesh,33,IND,"Rs 9,53,300",Nil
KALVAKUNTLA CHANDRASHEKAR RAO,KAMAREDDY  (KAMAREDDY),Late Kalvakuntla Raghava Rao,69,BRS,Telangana 2018,"Rs23,55,37,725"
KANDARPALLY KASHINATH,JUKKAL (SC)  (KAMAREDDY),Kendarpally Gangaram,28,Bahujan Mukti Party,"Rs 2,37,071",Nil
KANTE SAYANNA,KAMAREDDY  (KAMAREDDY),Sh. K Peddulu,45,IND,Telangana 2023,"Rs3,54,59,500"
KANUGANTI RAJU,KAMAREDDY  (KAMAREDDY),Late K. Rajaiah,57,All India Forward Bloc,Telangana 2023,"Rs92,68,000"
KANYAKA PRASANNA S,KAMAREDDY  (KAMAREDDY),late. Hari Babu Krovi,61,Bahujan Mukti Party,"Rs 40,56,136","Rs 5,17,000"
KATIKAM SANGA REDDY,KAMAREDDY  (KAMAREDDY),Late Ram Reddy,42,IND,"Rs 71,60,000","Rs 33,35,000"
KATIPALLY VENKATA RAMANA REDDY(Winner),KAMAREDDY  (KAMAREDDY),Late Katipally Pedda Raja Ready,53,BJP,Telangana 2018,"Rs7,79,69,256"
KOTAGIRI SRINIVAS,KAMAREDDY  (KAMAREDDY),Kotagiri Sayanna,56,Yuga Thulasi Party,Telangana 2023,"Rs42,64,100"
KUNTA RAVI,KAMAREDDY  (KAMAREDDY),Sh. Kunta Chinna Narsaiah,31,IND,"Rs 11,45,012",Nil
LAXMI KANTHA RAO THOTA(Winner),JUKKAL (SC)  (KAMAREDDY),Thota Yadagiri Rao,53,INC,"Rs 8,11,29,574","Rs 2,04,50,166"
MADAN MOHAN RAO. K(Winner),YELLAREDDY  (KAMAREDDY),K. Rajeshwar Rao,54,INC,Loksabha 2014,"Rs29,12,23,038"
MADISHETTY THIRUPATHI,KAMAREDDY  (KAMAREDDY),Madishetty Narayana,39,IND,"Rs 31,38,000","Rs 6,80,000"
MOHAMMAD TAHER BIN AHMED,KAMAREDDY  (KAMAREDDY),Ahmad Bin Salam,37,IND,"Rs 66,76,000",Nil
MOHAMMED ARIF,KAMAREDDY  (KAMAREDDY),Mohammed Asifoddin,47,Republican Party of India,"Rs 25,68,500","Rs 16,23,800"
MOHAMMED KHALEELULLAH,KAMAREDDY  (KAMAREDDY),Late Mohd Rasheed Ahmed,38,IND,"Rs 39,60,000","Rs 50,000"
MUDRICHA SUBHASH,YELLAREDDY  (KAMAREDDY),Mudicha Kishan,29,Gana Suraksha Party,"Rs 80,000",Nil
MYATHARI SANJEEVULU,YELLAREDDY  (KAMAREDDY),Sailu,27,IND,"Rs 27,08,290","Rs 7,67,700"
NAIK B.B,KAMAREDDY  (KAMAREDDY),Sh. Chatru Naik,48,IND,"Rs 32,65,000",Nil
NILA NAGARAJU,KAMAREDDY  (KAMAREDDY),Sh. Narayana,34,IND,"Rs 1,80,000","Rs 4,80,000"
PAMPARI NARSIMHA NARENDER,KAMAREDDY  (KAMAREDDY),Late P. Narsimha,45,Rajyadhikara Party,Telangana 2023,"Rs85,75,605"
RAJAGIRI SANTHOSH REDDY,KAMAREDDY  (KAMAREDDY),Sh. Rajagiri Sangareddy,27,IND,"Rs 14,500",Nil
RAVI NAYAK BHUKYA,KAMAREDDY  (KAMAREDDY),Sh. Munsa Nayak,36,IND,Telangana 2023,"Rs43,07,000"
RUPAVATH KONDAIAH,KAMAREDDY  (KAMAREDDY),Sh. Sakriya,38,IND,"Rs 11,34,500","Rs 18,000"
SHAIK ABDUL WAHED,KAMAREDDY  (KAMAREDDY),Shaik Ali Sahah,41,IND,"Rs 1,98,500",Nil
SHAMBUGALLA LAXMAIAH,YELLAREDDY  (KAMAREDDY),Late Shambugalla Pochaiah,40,Dharma Samaj Party,"Rs 41,65,994","Rs 1,60,000"
SIDDIRAMULU SIRIGADHA,KAMAREDDY  (KAMAREDDY),Nagaiah,51,Bahujana Left Party,"Rs 54,89,896",Nil
SRINIVAS BADHAVATH,YELLAREDDY  (KAMAREDDY),Hariya Badhavath,33,Vidhyarthula Rajakiya Party,"Rs 20,000",Nil
SURENDAR JAJALA,YELLAREDDY  (KAMAREDDY),Sh. Narsaiah Jajala,50,BRS,Telangana 2018,"Rs3,40,19,797"
UDTHAWAR SURESH GOUD,KAMAREDDY  (KAMAREDDY),Tukaram Goud,48,BSP,"Rs 62,47,868",Nil
UGRAWAI BOLESHWER,KAMAREDDY  (KAMAREDDY),Bhudaiah,37,Dharma Samaj Party,"Rs 34,85,113","Rs 4,90,000"
VAGMARE GANGADHAR,JUKKAL (SC)  (KAMAREDDY),Vagmare Ram Chandhar,44,Navarang Congress Party,"Rs 8,89,455","Rs 60,000"
VENKANNA GUGULOTHU,KAMAREDDY  (KAMAREDDY),Gugulothu Bojya,40,IND,Telangana 2023,"Rs78,06,000"
ABBU MAHIPAL REDDY,HUZURABAD  (KARIMNAGAR),Abbu Sudhakar Reddy,34,IND,"Rs 24,000",Nil
AKKENAPALLI SATHISH,CHOPPADANDI (SC)  (KARIMNAGAR),Akkenpelly Devadas,32,IND,Telangana 2018,"Rs72,979"
AMBATI JOJI REDDY,KARIMNAGAR  (KARIMNAGAR),Late Andireddy,54,All India Forward Bloc,"Rs 10,89,05,925","Rs 3,07,60,000"
ANIL GOUDA,HUZURABAD  (KARIMNAGAR),Kumara Swamy Gouda,38,IND,"Rs 50,000",Nil
AQEEL SHAHED MOHAMMED,KARIMNAGAR  (KARIMNAGAR),M.A.Jalil,56,IND,"Rs 57,34,500",Nil
AREPALLY MOHAN,MANAKONDUR (SC)  (KARIMNAGAR),Sh. Venkati,67,BJP,Telangana 2018,"Rs44,28,026"
BABBAN,KARIMNAGAR  (KARIMNAGAR),Abdul Jabbar Mohammad,38,IND,"Rs 1,75,435",Nil
BANDA KISHORE REDDY,KARIMNAGAR  (KARIMNAGAR),Kishan Reddy,34,IND,"Rs 1,16,81,760","Rs 2,15,000"
BANDI SANJAY KUMAR,KARIMNAGAR  (KARIMNAGAR),late NARSAIAH,52,BJP,Lok Sabha 2019,"Rs22,70,000"
BANDI SRINIVAS,KARIMNAGAR  (KARIMNAGAR),Bheemaiah,41,India Janshakti Party,Telangana 2018,"Rs2,20,000"
BANGARI MADHAVA,CHOPPADANDI (SC)  (KARIMNAGAR),Lingaiah,37,Pyramid Party of India,Telangana 2014,"Rs1,00,000"
BARIGE GATTAIAH YADAV,HUZURABAD  (KARIMNAGAR),Erraiah,48,IND,"Rs 70,32,000","Rs 5,20,000"
BEJJANKI PRASHANTH KUMAR,CHOPPADANDI (SC)  (KARIMNAGAR),Lachaiah,31,Peoples Party of India (Democratic),"Rs 2,55,000",Nil
BELLAPU KARUNAKAR,KARIMNAGAR  (KARIMNAGAR),Ramesham,36,IND,"Rs 46,000",Nil
BISADI MUKUNDA RAO,HUZURABAD  (KARIMNAGAR),Balakistaih,58,IND,"Rs 63,000",Nil
BOGE PADMA,MANAKONDUR (SC)  (KARIMNAGAR),Boge Mallesh,39,All India Mahila Empowerment Party,"Rs 10,000",Nil
CHALLA THIRUPATHI REDDY,HUZURABAD  (KARIMNAGAR),Latchi Reddy,35,IND,"Rs 2,88,000",Nil
CHEETI VENKAT RAMANA RAO,KARIMNAGAR  (KARIMNAGAR),Muralidhar Rao,51,IND,"Rs 55,00,000","Rs 1,00,000"
CHILUVERI RAKESH,HUZURABAD  (KARIMNAGAR),Raju,28,Dharma Samaj Party,"Rs 2,79,186","Rs 7,000"
CHINTHA ANILKUMAR,HUZURABAD  (KARIMNAGAR),Chintha Prabhakar,38,Pyramid Party of India,Lok Sabha 2019,"Rs25,000"
DASARI VIDYASAGAR,CHOPPADANDI (SC)  (KARIMNAGAR),Yellaiah,35,IND,"Rs 2,34,270",Nil
